Lugar,Lat,Lon
Caracol-Punta Sur,19.9310405,-87.2094224
Chacchoben,19.0366863,-88.1823659
Chakanbakán,18.4519858,-89.0917582
Calica,20.631488,-87.0787324
Cobá,20.4947417,-87.7448659
Playa del Carmen,20.6538687,-87.1067159
Dzibanché,18.6419642,-88.7695881
San Gervasio,20.4921218,-86.938719
Kinichná,18.6609288,-88.7760236
Kohunlich,18.4191864,-88.7987548
El Meco,21.2121102,-86.8127032
San Miguelito,20.7029175,-87.0229398
Muyil,20.0761803,-87.6232955
Oxtankah,18.555571,-88.2619967
El Rey,21.0559276,-86.7913704
Tulum,20.2096399,-87.4806307
Xcaret,20.2102396,-87.4743797
Xelhá,20.3197634,-87.3637967
Museo Maya de Cancún,21.0738308,-86.7793399
